product_name,overall_rating,site_category_lv1,site_category_lv2,reviewer_gender,reviewer_state,review_text
cartao micro sd ultra classe 10 adapt android 32gb android,Nota: nota 1,cameras filmadoras,cartao memoria,m,sp,usando programa verificacao autenticidade chamado sdinsight demonstrou nao original | produto defeito faco pra trocar | acredito relacao cartao memoria nao ha espera cumpre papel simples assim devo ressaltar entrega eficiente satisfeito recomendo compra produto pra chegar ate dia 24 abril chegou dia 9 abril | apos inserir cartao memoria sandisk ultra 32gb classe 10 aparelho celular samsung galaxy s7 ambos novos comprados mesma data cartao nao funcionou adequadamente nao salvou fotos videos | poucos dias uso cartao simplesmente parou funcionar celular computador reconhecem cartao micro sd
cartao micro sd ultra classe 10 adapt android 64gb sandisk,Nota: nota 4,cameras filmadoras,cartao memoria,m,rj,pra deseja estender memoria smartphone recomendo | perfeito nao caro smartphone aceitou bem produto agora possa contar espaco registrar momentos videos fotos cancao | fiz pedido desse cartao chegou cartao pirata nao permitia fazer nenhum armazenamento americanas nao devia confiar certos parceiros aguardando resposta pra devolver | bom produto entrega rapida recomendo vendedor | gostei otima qualidade recomendo todos usam tipo memoria | preco bommmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm | produto bom entrega feita muita rapidez | primeira compra produto outro parceiro problemas devolucao comprei segundo parceiro atrasou pouco recebi | produto nao condiz descricao produto tento gravar 11gb ja quase 1 hora nao chegou metade tentei gravar anteriormente nao obtive sucesso comprei produto acreditando qualidade infelizmente nao sorte
cartao psn r 250 playstation network store brasil,Nota: nota 5,games,playstation 3,m,pr,excelente distribuidor entrega rapida produto perfeito estado recomendo
cartao sd ultra uhsi classe 10 64gb 48mbs 320x sandisk,Nota: nota 5,cameras filmadoras,cartao memoria,m,sp,cartao excelente videos full hd recomendo produto vendedor
cartas edson,Nota: nota 5,livros,literatura nacional,m,sp,livro ainda vai entrar historia livro bem escrito facil interpretar recomendo certeza obra
carteira couro feminina fecho preta,Nota: nota 2,moda,feminino,f,mg,carteira pequena nao porta documentos lugar colocar talao cheque
carteira feminina gatinho couro,Nota: nota 5,moda,feminino,f,sp,linda espacosa acabamento detalhes impecaveis
carteira macadamia matelasse,Nota: nota 5,moda,feminino,f,pr,produto bom otima qualidade atendeu todas expectativas ficou otima
carteira magica artlux,Nota: nota 5,moda,masculino,m,es,produto excelente pra quer pouco volume bolso
carteira niege merida,Nota: nota 4,moda,feminino,f,mg,cabe muita coisa inclusive celular acordo necessidade | otimo material cor linda chegou antes prazo super recomendo | achei carteira bastante funcional material parece boa qualidade cor bem vibrante | otimo produtocom qualidade boa chegou bem rapido | so achei pouco grande otima material bom chegou super rapido preco otimo | deveria colocar promocoes amei comprar site americas chegou rapido | otima relacao custoxbeneficio promocoes peguei americanas
carteira rip curl word boss pu slim,Nota: nota 1,moda,masculino,m,rj,nao gostei produto maior problema encontrado tamanho compartimento notas nao cabe cedulas maiores real espaco compartimento cartoes pequeno encaixalos nao recomendo produto
cartela 9 agulhas agulhas croche cabo soft nº2 6,Nota: nota 1,artesanato,armarinho aviamento,f,sp,veio faltando agulha mandado email ninguem responde fiquei triste pois ja comprado varias coisas acreditei competencia etive decepcao
cartela rifa 100 nomes 50 unidades,Nota: nota 4,papelaria,artigos festas,f,es,amei satisfeita amei produto chegou rapido loja parabens
cartucho 60b preto cc636wb hp,Nota: nota 4,informatica acessorios,cartucho,f,sp,recebi produto dentro prazo qualidade esperada otimo
cartucho 901xl preto compativel 21ml,Nota: nota 5,informatica acessorios,cartucho,m,mg,compativel problemas impressao recomendovaleu pena chegou dentro prazo entregue combinado
cartucho 92 c9362wl preto hp,Nota: nota 1,informatica acessorios,cartucho,m,sp,nao recebi produto correto reclamei ainda nao obtive resposta
cartucho black 4 p x2690 x4690 lexmark,Nota: nota 3,informatica acessorios,cartucho,m,es,entrega dentro prazo bom produto bem embalado recomendo
cartucho compativel epson c63 c65 c83 c85 cx3500 cx6300,Nota: nota 3,informatica acessorios,cartucho,m,df,remessa nao testei ainda tinta impressora ainda nao acabou remessa anterior funcionou normalmente
cartucho compativel hp 21 preto,Nota: nota 3,informatica acessorios,cartucho,m,mg,produto funciona porem equipe entrega deixou desejar ficaram inventando mentira nao fazer entrega falaram nao encontrou endereco fica localizado av principal bairro onde feito 10 entregas dia coisa nocao
cartucho compativel hp 901 color,Nota: nota 3,informatica acessorios,cartucho,m,df,produto chegou rapido impressora nao reconheceu original marca somente metade conteudo vou usar ver dura tipo xl
cartucho epson preto p xp104204214401411 t196120br,Nota: nota 1,informatica acessorios,cartucho,m,sc,tinta descricao errada leva consumidor erro caso processo
cartucho hp 10 c4844a preto 69ml,Nota: nota 5,informatica acessorios,cartucho,m,ms,produto original otima qualidade empresa entregou antes prazo determinado prestativo
cartucho hp 122 xl preto alto volume hp,Nota: nota 1,informatica acessorios,cartucho,f,ro,bom dia sempre compro nunca deu problema agora deu faco resolver | recebi antes prazo produto esperava original | nao recebi produto porque ja fiz varias avaliacoes nada ainda | so compro produtos hp pois sao excelente qualidade portanto continuo mantendo fidelidade produto
cartucho hp 122xl colorido compativel 21ml,Nota: nota 5,informatica acessorios,protecao eletrica,m,sp,otimo gostei alem carga recomendo
cartucho hp 122xl preto co338 multilaser,Nota: nota 5,informatica acessorios,cartucho,m,rs,comprei cartucho americanas alguns marcas nao boas duraram menos 1 mes ultima compra deste modelo marca multilaser vendidoentregue mmplace cartucho ha quase 3 meses rendimento bom
cartucho hp 21xl preto compativel 21ml,Nota: nota 1,informatica acessorios,protecao eletrica,m,rj,vou avaliar produto ainda nao recebipessima entrega
cartucho hp 23 c1823d colorido compativel 30ml,Nota: nota 4,informatica acessorios,cartucho,f,sp,otimo produto funciona cartucho original recomendo
cartucho hp 662xl cz105ab preto 65ml,Nota: nota 4,informatica acessorios,cartucho,f,sc,produto bom ainda nao recebi problema nao produto transportadora empresa escolheu envialo
cartucho hp 670xl magenta 75 ml cz119ab,Nota: nota 4,informatica acessorios,cartucho,m,sp,produto veio data validade proxima vencimento
cartucho hp 74xl cb336wb preto,Nota: nota 4,informatica acessorios,cartucho,m,rj,procuro comprar produtos originais evitar problemas compatibilidade
cartucho hp 901xl original cc654ab black,Nota: nota 2,informatica acessorios,cartucho,m,rs,vendido produto original entregue remanufaturado fiquei insatisfeito senti enganadoe so empresa faz aceitar devolucao devia minimo enviar produto conforme compra original
cartucho hp 94 preto c8765wb hp,Nota: nota 1,informatica acessorios,cartucho,f,pe,produto nao entregue fornecedora satisfacao sobre motivo atraso comprado inicio abril
cartucho hp 97 c9363 color 14ml p deskjet mobile,Nota: nota 1,informatica acessorios,cartucho,m,sp,cartucho apesar ter logo hp ter vindo caixa hp parou funcionar impressora impressora deu aviso the color print cartridge is faulty or incompatible with this printer nao consigo imprimir pois impressora reconhecendo cartucho incompativel maquina nunca aconteceu antes ja impressora ha muitos anos gostaria americanas fornecedor pudessem resolver questao
cartucho hp c106ab color 662xl,Nota: nota 4,informatica acessorios,cartucho,m,sp,produto original hp sempre bom
cartucho hp56 preto c6656ab hp,Nota: nota 4,informatica acessorios,cartucho,m,mg,nao nenhum problema entrega recebi produto conforme encomendado
cartucho hp60xl preto cc641wb hp,Nota: nota 1,informatica acessorios,cartucho,m,sp,nao original impressora acusou cartucho falsificado ja pedi devolucao dinheiro | cartucho carga extra original hp photosmart d110a 60xl codigo cc641wb entregues nao funciona impressora sempre tras mensagem erro mal funcionamento cartucho americanas coresponsavel produto preciso troquem 02 cartuchos recebi 2º cartucho abri pois provavelmente vai dar problema americanas solucao cliente aqui solicitar resposta aguardo
cartucho hp60xl tricolor cc644wb hp,Nota: nota 1,informatica acessorios,cartucho,m,sp,dera ne americanas vou avaliar nao recebi ate hj produto ja fiz reclamacao nao retorno ate momento fica dificil avaliar produto empresa dessa forma | comprei mo preto nao funcionou liguei hp onde confirmaram cartucho vencido caixa consta vencimento 2020 podemos deduzir mandei duas mensagens ninguem respondeu nao comprem deste fornecedor cade responsabilidade americanas
cartucho impressora hp deskjet 22 c9352ab colorido 6ml,Nota: nota 5,informatica acessorios,cartucho,m,sp,andamento compra confiavel tipo atividade brasil termos gerais deixa certa inseguranca nao sinto compro pel americanas
cartucho lexmark 16 17 xl preto x1100 x1185 z13 z25 z33 15 ml preto,Nota: nota 2,informatica acessorios,cartucho,f,sp,assim q coloquei cartucho imprimir primeira vez ja indicou pouca tinta nao mes q comprei ja vou ter q comprar uso pouco
cartucho original canon cl146 cl 146 color pixma mg2410 mg2510 9ml,Nota: nota 4,informatica acessorios,cartucho,m,go,gosto produto ja utilizo uso ha varios anos
cartucho pg44 impressora canon,Nota: nota 5,informatica acessorios,cartucho,f,sp,otimo entrega antes prazo gostei produto
cartucho recarregavel pg145 cl146 mg2410 mg2510 mg2910,Nota: nota 5,informatica acessorios,cartucho,m,sp,super vale pena preciso ter cartuchos originais funcionando recarregar comprar agulhas seringa recomendo
cartucho tinta canon 41 cl41 colorido 15ml compativel,Nota: nota 4,informatica acessorios,cartucho,f,sp,medo comprar avalia negativa deu tudo certo funcionou
cartucho tinta canon pgi2100 preto,Nota: nota 1,informatica acessorios,cartucho,f,sp,venderam produto pessima data validade vencendo pouco tempo nao consegui trocar validade maior pessimo
cartucho tinta compativel canon pg145 preto 10ml,Nota: nota 4,informatica acessorios,cartucho,m,sp,funcionou 1a necessidade ajustes alinhamento cabecas impressao
cartucho tinta compativel hp 49a 51649 23ml colorido officejet 725 psc 380 370 apollo 2200,Nota: nota 1,informatica acessorios,cartucho,f,rs,ainda nao recebi produto aguardando
cartucho tinta compativel hp 904 904xl yellow,Nota: nota 1,informatica acessorios,cartucho,m,sp,nao recomendo recebi cartucho amarelo todo estourado veio vazando
cartucho tinta epson t133120 preto,Nota: nota 5,informatica acessorios,cartucho,m,sp,produto original epson excelente qualidade nao existe parametro comparacoes
cartucho tinta epson t194320 magenta,Nota: nota 4,informatica acessorios,cartucho,f,sp,bom chegou bem prazo previsto recomendaria par outros obrigado
cartucho tinta epson t23 tx105 tx115 to117 to732n to733n to734n compativel,Nota: nota 4,informatica acessorios,cartucho,m,sp,produto qualidade boa atendeu expectativa recomendo
cartucho tinta hp 60xl cc641wb preto 12ml,Nota: nota 5,informatica acessorios,cartucho,m,sp,cumpriu papel imprimiu certinho afqfqefwqeifjefiwfisjfaksfjksafjkasfjkasfjskdf
cartucho tinta hp 60xl cc641wl preto c1un,Nota: nota 1,informatica acessorios,cartucho,f,sp,bom nao sei todos imenso azar impressora nao reconheceu cartucho precisando ate loja kalunga comprei outro ja estragado embalagem veio nao questionei nada tambem pode alguem levou sorte compra pra mim nao deu certo | vou avaliar qualidade entrega produto ainda nao recebi desde 28122018 ultimo prazo entrega produto nao aconteceu ate hoje 11012018 peco empresa americanas intervenha junto parceira sentido agilizar entrega pois site propria americanas acompanhamento mostra ate agora somente emitida nota fiscal
cartucho tinta hp 662 tricolor cz104ab hp,Nota: nota 4,informatica acessorios,cartucho,m,sp,material bom corresponde esperado preco mediano fitas coloridas
cartucho tinta hp 662 xl alto rendimento preto cz105ab hp,Nota: nota 4,informatica acessorios,cartucho,f,rj,recomendo entrega rapida dentro prazo
cartucho tinta hp 662 xl alto rendimento tricolor cz106ab hp,Nota: nota 1,informatica acessorios,cartucho,m,sp,nao avaliar produto comprei nao recebi
cartucho tinta hp 664 preto f6v29ab,Nota: nota 4,informatica acessorios,cartucho,f,pr,sempre compro americanas cartucho entrega dentro prazo produto bom
cartucho tinta hp 664xl f6v30ab tricolor 8ml,Nota: nota 4,informatica acessorios,cartucho,m,rj,produto otima qualidade atende perfeitamente expectativas
cartucho tinta hp 664xl preto f6v31ab f6v31a,Nota: nota 5,informatica acessorios,cartucho,f,rj,recomendo produto realiza bem funcao compraria novamente
cartucho tinta hp 670 preto cz113ab,Nota: nota 3,informatica acessorios,cartucho,m,ba,preco considerando quantidade tinta carissimo
cartucho tinta hp 74xl cb336wb preto original 18ml,Nota: nota 1,informatica acessorios,cartucho,m,mg,produto apresentou defeito menos 2 meses uso queimou circuito
cartucho tinta hp 93 c9361wb color original 5ml,Nota: nota 1,informatica acessorios,cartucho,f,mg,produto entregue ate 2003 nao entregue ate presente data
cartucho tinta hp 93 tricolor c9361wb,Nota: nota 1,informatica acessorios,cartucho,f,df,fiz compra desse cartucho dia 05122017 constava entrega feita ate 08012018 ate hoje nao recebi ja fiz avaliacao loja voce ficaram resposta ate hoje nada insatisfeita pretendo nunca comprar americanas
cartucho tinta hp f6v31ab preto,Nota: nota 1,informatica acessorios,cartucho,f,ba,vou ter entrar processo pedir estornoate hoje nada | vou prestar atencao duracao qualidade ora otimo sabe fica excelente
cartucho tinta officejet hp 951xl magenta cn047,Nota: nota 1,informatica acessorios,cartucho,m,mg,visto americanascom perdeu sentido organizacao respeito cliente querem faca avaliacao pedidos nao enviaram outro pedido recebi veio falsificado
cartucho tinta original hp cc654ab hp 901 xl preto 155ml,Nota: nota 3,informatica acessorios,cartucho,f,sp,produto bomporem ultimo comprei nao deu usarparecia tinta seca impressora deu usado decepcionei
cartucho tinta pg140 preto canon,Nota: nota 5,informatica acessorios,cartucho,f,sp,gostei facilidade pagamento rapidez entrega otima qualidade material
cartucho tinta preto 18c1428 lexmark,Nota: nota 1,informatica acessorios,cartucho,m,sp,recebi produto errado ate hoje americanas nao solucionou problema
cartucho toner brother dcp1617nw hl1212nw dcp1617 compativel,Nota: nota 5,informatica acessorios,toner,f,rn,tudo chegou queria ate data bateu pois data precista nao satisfatoria pra mim chegou bem antes
cartucho toner brother tn 1060 original,Nota: nota 5,informatica acessorios,cartucho,m,sp,tentei comparar controle remote portao valor 1430 900 reais frete quanto quis comprar dois dobro valor frete favor esclarecer
cartucho toner compativel hp 83a cf283a m125a m201 m225 m226 m202 m127fn m127fw retech,Nota: nota 5,informatica acessorios,cartucho,m,sp,produto impressao excelente alem qualidade acabamento cartucho serem primeira
cartucho toner compativel hp ce285a 85a ce285ab 85ab p1102 p1102w m1217 premium quality,Nota: nota 3,informatica acessorios,cartucho,f,sp,gostei produto cartucho compativel modelo impressora
cartucho toner compativel lexmark mx310410511611mfps 10k,Nota: nota 3,informatica acessorios,toner,m,sc,usei semana chip estragou consegui imprimir 500 folhas maximo esperando enviarem chip novo otimo produto
cartucho toner compativel samsung mltd111s m2020 m2020fw m2020w m2070 m2070w m2070fw,Nota: nota 4,informatica acessorios,cartucho,m,pr,toner bom preco bem acessivel funcionou normalmente
cartucho toner hp 85a preto ce285ab hp,Nota: nota 1,informatica acessorios,toner,f,rj,correios buscar entrega reclamar ja havia passado prazo nada desloquei ate correiosque nao perto finalmente consegui logo conducao voltando pra casa percebi algo errado pois abri plastico produto caixa suja po preto cheguei casa terminar abrir caixa simplesmente parecia so po preto tirei varias fotos porque fiquei medo nao acreditarem palavra perecia cartucho todo estourado sei la aconteceuminha sala ficou toda suja desse po maos tambem fiquei chateada sempre compro loja americana primeira vez problemas agora sei quero trocar pedir dinheiro volta insegura receber outro cartucho ruim pior urgencia usar professora uso impressora comprei loja americana otima decepcionada
cartucho toner samsung d111s preto original,Nota: nota 3,informatica acessorios,toner,m,sp,produto parece bom nunca vai chegar qualidade excepcional principalmente pais tudo produz enganacao
casa arvore homeplay,Nota: nota 1,brinquedos,bonecas,m,sp,produto fragilencaixes quebram facilmente nao ficar mole usar colas travas | filha aou casa bonecas vem nela brinquedo excelente explorar criatividade imaginacao | casinha grande so bonecos vieram nao gostei brinquedo filha brinca tempo todo sozinha amiguinhas | linda alguns itens sao fracos tbm ficam desmontando geral gostei
casa infantil tropical creme xalingo,Nota: nota 5,brinquedos,playground,m,rs,otimo produto so pouco pesado certa dificuldade montar
cascata piscina fibra 64cm onda,Nota: nota 4,casa construcao,piscina,m,ms,1 recomendaria amigos 2 nao instalada apos receber cascata ver cascata modelo fibra cor azul 3 possibilidade trocar cor azul possivel bom
case adaptador universal 95mm segundo hd ssd sata notebook caddy,Nota: nota 3,informatica acessorios,memoria ssd,m,es,apesar alguns encaixes parafusos nao estarem padrao outro case produto atendeu funcionando corretamente obrigado
case hd 25 usb sata exbom cghd10 preto,Nota: nota 5,informatica acessorios,pecas computador,m,mg,serviu certinho queria fazer recomendo
case hd notebook sata 25 exbom usb 20 30 preto,Nota: nota 3,informatica acessorios,drives gravadores,m,sp,ainda nao testei produto pois aguardo hd chegar montei outra igual uns dias atras funciona bem unica coisa acho ruim cabo utiliza comunicacao usb macho usb macho padrao miniusbusbmacho padrao novo usb 30 detalhe vai boa | comprei produto exclusivamente porque ja vinha capa protetora porem capa nao veio so veio outros acessorios pessimo comprometimento descrito descricao produto | produto atendeu prometido funcionou bem he | fragil acabamento ruim nao encaixa hd perfeitamente fica meio solto dentro case ligacoes eletronicas expostas aspecto bem fragil | produto diferente pedido solicitado troca ainda nao usei nao posso avaliar | produto funcionando perfeitamente nenhum defeito | gostei produto funcional entregam antes prazo bem organizado
case p tablet ipad 23 multilaser bo162 smart cover magnetica pu cinza,Nota: nota 5,informatica,tablet ipad,m,pr,produto bom entregue prazo total indicacao | nao trata case entendo protecao total frente verso so capa ima parte protecao parte tras ipad mim nao funcionou solicitei devolucao
case universal tablet 7 multilaser preto,Nota: nota 1,informatica,tablet ipad,f,rj,nao recebi produto ate momento ninguem resolveu problema arrependida nunca compro nada americanas indico ninguem
casinha infantil brinquedo rosa crianca feliz,Nota: nota 3,brinquedos,bonecas,f,es,comprei casinha chegou varias avarias estrutura casinha pintura danificada vou pintarla cortininha nao vem bem acabada filha adorou | super recomendo produto otima qualidade atendimento rapidez entrega
castanha caju torrada salgada w1 premium 400g,Nota: nota 3,alimentos bebidas,mercearia salgada,m,sp,produto bom castanhas nao sao premeio veio muitas graos quebrados
castanha inteira 500g,Nota: nota 5,alimentos bebidas,mercearia salgada,m,sp,gostei bastante rapido otima qualidade embalagem boa fecho recomendado
catena alta chardonnay 2013 bco catena zapata,Nota: nota 5,alimentos bebidas,vinhos,m,sp,vinho bom acompanhou bem peixes frutos mar recomendo loja
catharine hill paleta sombras 30 cores cod 1017,Nota: nota 5,beleza perfumaria,maquiagem,f,mg,paleta boa bem pigmentada entrega rapida eficiente loja parceira blush fofa mandou ate brinde compra adorei | nao recebi produto ate agora nao atualizacao sobre pra ter recebido desde dia 0304 hoje 1304 nao chegou ainda residencia ultima atualizacao dia 2203 falando transporte acredito produto bom porem ainda nao recebi decidi avalialo forma ruim ver dessa forma americanas retorno
catharine hill paleta sombras variadas 24g,Nota: nota 5,beleza perfumaria,maquiagem,m,sp,paleta maravilhosa simpleste incrivel super pigmentacao encantada loja entrega incrivel super recomendo sait americanas pra mim receber paleta dia 17012018 recebi hoje dia 10012018 super rapida entrega incrivel parabens lojas americanas
catharine hill sombras variadas 1017 paleta sombras 24g,Nota: nota 5,beleza perfumaria,maquiagem,f,rs,chegou menos semana bom bem pigmentado
cauterizacao profissional trivitt 250ml,Nota: nota 1,beleza perfumaria,produtos cabelo,m,sp,chegou derramado
cautermax cauterio portatil descartavel caixa 03 unidades ponta fina,Nota: nota 1,saude,equipamentos medicos hospitalares,m,sp,comprei kit 3 unidades so mandaram 1 paguei quase 300 reais 3 produtos recebi 1
cavalete descanso central fazer 250 todas ate 2018 7631,Nota: nota 1,automotivo,acessorios motos,m,rj,descricao produto errada nao serve fazer 2018 fiz cancelamento produto assim entregue
cavalete veiculos linha leve 2 toneladas loyal01901001,Nota: nota 1,automotivo,ferramentas automotivas,m,sp,anuncio diz par veio somente unidade enganado
cavalinho brinquedo balanco pelucia,Nota: nota 4,brinquedos,playground,m,sp,bom produto belo acabamento produto condiz colocado site superou expectativas
cavalinho upa upa pula pula inflavel vinil c som azul,Nota: nota 1,brinquedos,playground,f,sp,recebi saco bolinhas piscina bolinhas lugar cavalinho ate agora nao consegui fazer devolucao troca | gostei brinquedo filho tbm gostou apenas nao gostei pois algumas manchas tinta nele chororo
cavalinho upa upa pula pula inflavel vinil c som laranja,Nota: nota 3,brinquedos,playground,m,sp,produto bom pouco forte cheiro tinta resto tudo bem
cavalinho upa upa pula pula inflavel vinil c som rosa,Nota: nota 3,brinquedos,playground,m,sp,produto boa qualidade agora vinil vem cheiro forte adorou | comprei dia 812 ainda nao recebi nao solucao dentro dessa semana vou entrar acao contra voces
cd acoustic hits originals,Nota: nota 4,musica,pop internacional,m,sp,produto qualidade otimas condicoes uso produto nota dez recomendo todos
cd ariana grande my everything,Nota: nota 5,musica,pop internacional,m,ba,excelentes musicas pop assim reconheco demorei comprar
cd blitz eskute blitz vivo,Nota: nota 2,musica,pop nacional,m,rs,nao gostei cd vivo prefiro gravacoes estudio caso dessa banda
cd bruno mars doowops hooligans,Nota: nota 5,musica,pop internacional,f,sp,adorei produto recomendo so nao compro outros porque ja
cd cassiane som louvores,Nota: nota 5,musica,gospel religiosa,f,ba,bom cd vale apena comprar musicas sao lindas inspirada espirito santo
cd demi lovato tell you love,Nota: nota 5,musica,pop internacional,f,sp,rapidez entrega produt veio certo nenhum problema amei
cd depeche mode spirit,Nota: nota 5,musica,rock internacional,m,sp,letras depeche mode ja sao reconhecidamente poesia alto nivel neste album tematica antifascista anticapitalista elevada condicao obraprima
cd flavio venturini noites sol,Nota: nota 4,musica,mpb,m,sp,cd otimo musicas sao poeticas cultura curte musicas qualidade
cd los pirata en una onda neopunque,Nota: nota 3,musica,rock nacional,m,pr,entrega rapida produto conforme descricao otimo preco
cd maite perroni eclipse luna versao deluxe brasil,Nota: nota 1,musica,pop internacional,m,df,letras superficiais voz cheia auto tune maite precisa melhorar
cd mestre kuca po po,Nota: nota 5,musica,pop nacional,m,mg,banda renomada mestre kuca neste cd pouco tempo carreira musical pode vir tornar icones consagrados banda revelacao cenario pop rock independente melodias envolventes contagiantes bem elaboradasvale conferir
cd michael wsmith and friends the spirit of christmas,Nota: nota 5,musica,gospel religiosa,m,rs,bom super recomendavel gostei demais cd
cd motorhead ace of spades digipack lacrado,Nota: nota 5,musica,colecionaveis,m,pr,excelente produto otimas musicas encarte melhores fases motorhead
cd necromancia necromancia,Nota: nota 4,musica,rock nacional,m,rj,excelente album otima producao som bem equalizado
cd paramore after laughter,Nota: nota 5,musica,rock internacional,m,sp,descrevo cd ultrapassa barreiras tempo agrada velhos jovens xd paramore coracao 3 opkaspkoasopkas
cd pink floyd the dark side of the moon colecao discovery duplo,Nota: nota 5,musica,rock internacional,f,rj,otima gravacao cd original melhor ainda outro cd show vivo
cd player automotivo shutt texas bluetooth usb sd mp3 aux fm atendimento chamada controle remoto,Nota: nota 4,automotivo,som automotivo,m,mg,produto bom considerando custo beneficio recomendo
cd player kenwood entrada usb preto,Nota: nota 4,automotivo,som automotivo,f,sp,gostei produto chegou antes prazo super recomendo
cd songbook chris cornell importado,Nota: nota 1,musica,pop internacional,m,mg,cd si bom pois gosto artista porem contrario informa anuncio cd nao importado sim fabricado zona franca manaus enfim propaganda enganosa
cd tie gaya,Nota: nota 4,musica,mpb,m,sp,musicas sao excelente qualidade pena sao poucas musicas trabalho otimo
cd varios cinema gold,Nota: nota 5,musica,trilha sonora,m,sp,entrega rapida produto qualidade entrega rapida produto excelente estado conservacao
cd zeca pagodinho vida vida,Nota: nota 4,musica,samba pagode,f,sp,produto excelente qualidade bom recomendo chegou antes prazo entrega americana parabens qualidade entrega prazo entrega dia 060318 so entregaram dia 280218 obrigado atencao voces dao clientes
cds saude possivel,Nota: nota 4,livros,direito,m,sp,livro todos lerem refletir sobre saude pais
celular alcatel flip 2 chips one touch 1035d preto,Nota: nota 5,celulares smartphones,smartphone,m,pr,produto bom otimo custo beneficio gostei bastante chegou antes prazo entregue sintonia digital entao recomendo sim
celular blu joy j010 dual sim 2g tela 24camvga tecla sos vermelho,Nota: nota 1,celulares smartphones,celular basico,m,sp,indignado atendimento americanas pois nao recebi bateria ja escrevi todos canaispois urgente pessoa idosaja fazem 10 dias nada satisfacao alguma vou colocar redes sociais mal atendimentoprometeram retornar nada
celular blu z3 z090 dual chip sim camera vga pretovermelho,Nota: nota 3,celulares smartphones,celular basico,m,sp,aguentase carga otimo infelis mente nao guenta
celular caterpillar b25 2 polegadas dualsim 512mb 2g resistente agua quedas preto,Nota: nota 3,celulares smartphones,smartphone,m,mg,aparelho bonito robusto menu simples comprei pai otimo idosos atendeu expectativas
celular caterpillar s40 47 polegadas dualsim 4g 16gb,Nota: nota 2,celulares smartphones,smartphone,f,sc,ja esperava celular restrito alguns aspectos nao decepcionei tanto achei camera poderia ter qualidade melhor satisfeita claro celular nao maravilhoso nao funciona rapido pra quer celular resistente nao importa camera interessante | quesito resistencia otimo telefone atende perfeitamente agora apesar ter configuracao razoavel funcionamento ruim decepcionante desde setembro 2017 vivo luta tremenda pra rode menos modo satisfatorio trava nao consegue abrir tela travar lento teclado pequeno demais trava sempre preciso abrir agenda gravador video pessima qualidade som nao sei acontece parece telefone 10 anos uso memoria sobrecarregada ja excluir tudo aplicativo veio nele nao uso essencial ver consigo usalo arrependimento matasse estaria morto gora enfim falta bocado pra cat conseguir acompanhar algum concorrente mercado smartfones | 03 observacoes descriminar nao veio fone ouvido embalagem fone ouvido primeira vez compro aparelho tel nao vem fone ouvido carregador carregador nao compativel padrao tomadas utilizadas brasil utiliza pino chato duas pontas aquecimento fiz aquisicao deste celular caterpillar semana ate momento sido fatisfatorio porem percebido usar aplicativo aquece utilizei waze algum tempo aparelho aqueceu demais utilizar whatsapp facebook outro apresenta aquecimento normal | ja venceu prazo entrega nao recebi celular ainda devo procurar procon
celular caterpillar s60 47 polegadas dualsim 32gb 4g lte preto,Nota: nota 1,celulares smartphones,smartphone,m,sp,entrou agua queimou sistema operacional trava funciona porcaria | pai amou celular pra procura resistencia acessibilidade otimo celular
celular dl power phone pw020 preto dual chip camera lanterna radio fm bluetooth funcao power,Nota: nota 5,celulares smartphones,celular basico,m,df,excelente aparelho bateria dura conforme especificacoes usar pouco dura 30 dias fizer receber ligacoes todos dias dura uns 15 dias ja otimo | certas pessoas nao precisao tecnologias avancadas excelente produto ja dei 2 presente adquiri 1 lanterna entao sensacional
celular dl yc110 preto dual chip radio fm lanterna,Nota: nota 1,celulares smartphones,celular,f,sp,aparelho ruim transmissao fia compra achando iria ajudar contato apessoa idosa infelizmente nao resultado esperado
celular dual chip lg b220 desbloqueado 32mb 2g radio fm preto,Nota: nota 2,celulares smartphones,smartphone,m,sp,ola recebi sim produto porem carregador nao funciona | produto atendeu expectativas simples porem util | celular descarrega rapido n recebe ligacoes celular paraguai nenhum selo n dao opcao ressaca mentor produto troca | aparelho simples atende necessidade especifica usado telefone | produto defeito aguardando cancelamento compra solicitei dentro 07 dias nao obtive retorno | produto funcionou esperado otimo celular quer apenas fazer ligacoes mandar mensagens sms | fiquei empolgado compra porem descobri aparelho falsificadoinfelizmente lojas americanas nome mercadosugerir ate vender site ruim aborreci nao troco pq necessidades | celular desliga sozinho ligacoes nao pra ouvir volume alto pessoa nao ouve tambem | celular funciona perfeitamente problema teclas ligar desligar nao acendem nao pra atender desligar celular vc ambiente escuro | microfone aparelho pessimo baixo fazenxo wue pessoas nao oucam | nao recebi produto atrasado informacoes parte loja | nao comprem mega page ficaram entregar dia 090318 casa deixaram correios dia 290318 buscar embalagem toda suja rasgada caixa amassada celular tampa tras quebrada devolvi la inves mandarem outro devolveram vale compra agora vou ter comprar outro so fez perder tempo mae tempo todo celular nao comprem | nao nada pra dizer bom nao produto nao chegou to decepcionado | pra deseja basicao otimo somente tres reclamacoes idioma portugues portugal voce discar numero nao salvar voce devera clicar nomes adicionar la unica maneira configuracao lanterna aparecer hora data resto ta servindo
celular dual chip nokia 208 desbloqueado preto camera 13 mp 3g memoria interna 256mb,Nota: nota 5,celulares smartphones,celular basico,m,mg,insperado chegou produto rapido boa qualidade
